@relation NLP

@attribute Tweet string
@attribute Category {SAMSUNG,IPHONE,VIVO,OPPO,XIAOMI,LENOVO}
@attribute Sentiment {POSITIVE,NEUTRAL,NEGATIVE,UNCATEGORIZED}

@data
'Saya suka video  dari   Unboxing Samsung Galaxy J5 Prime Indonesia - Mewahnya Kerasa',SAMSUNG,UNCATEGORIZED
'Saya suka video   Full Review Samsung Galaxy Note 5 Bahasa Indonesia',SAMSUNG,UNCATEGORIZED
'Saya suka video  dari   Unboxing Samsung Galaxy J5 Prime Indonesia - Mewahnya Kerasa',SAMSUNG,UNCATEGORIZED
'Saya suka video  dari   Samsung Galaxy Note5 - TechTalk #3',SAMSUNG,UNCATEGORIZED
'Saya suka video  dari   [REVIEW] Samsung Galaxy Note 5 - Indonesia',SAMSUNG,UNCATEGORIZED
'Saya suka video  dari   Samsung Galaxy Note 5 review',SAMSUNG,UNCATEGORIZED
'Saya suka video  dari   Unboxing Samsung Galaxy J5 Prime Indonesia - Mewahnya Kerasa',SAMSUNG,UNCATEGORIZED
'Saya suka video  dari   Unboxing Samsung Galaxy J5 Prime Indonesia - Mewahnya Kerasa',SAMSUNG,UNCATEGORIZED
'Saya suka video  dari   Samsung Z2 Review Indonesia - HP MASA GITU?',SAMSUNG,UNCATEGORIZED
'Saya suka video  dari   Google Pixel XL vs Samsung Galaxy S7 Edge - battle of the',SAMSUNG,UNCATEGORIZED
' Saya lebih suka jika Samsung lebih serius terjun ke bisnis Windows 10 PC.',SAMSUNG,UNCATEGORIZED
'_ harga sama even samsung pun punya prosesor yang lebih bagus',SAMSUNG,UNCATEGORIZED
' suka tak pakai lenovo? Taknak try samsung? Sony? Iphone? ??????',SAMSUNG,UNCATEGORIZED
'?  ?? #bokep #bokepfull Mantap ? Samsung dan Apple Masih Menjadi Smartphone Terlaris di Dunia',SAMSUNG,UNCATEGORIZED
'?  ?? #bokep #bokepfull Mantap ? Warga Jepara Bawa Pulang Samsung Galaxy J7 dari Bukopin',SAMSUNG,UNCATEGORIZED
'Saya suka video  dari   Review Samsung Galaxy S7 Edge - Sempurna?',SAMSUNG,UNCATEGORIZED
'#dijual #jual #iklan #iklanbaris Samsung j3 2016 bagus seperti baru',SAMSUNG,UNCATEGORIZED
'#BPNews Ini Dia 6 Aksesoris Terbaru Bagi Kamu Pencinta #Samsung! Suka yang Nomor Berapa?',SAMSUNG,UNCATEGORIZED
'aq benci samsung , hnjenk .',SAMSUNG,UNCATEGORIZED
'Saya suka video  dari _trinkets  Samsung Galaxy J3 2016 - Water Test (4K)',SAMSUNG,UNCATEGORIZED
'okezonenews: Huawei Langkahi Samsung sebagai Produsen Smartphone Paling Menguntungkan',SAMSUNG,UNCATEGORIZED
'okezonenews: Samsung Disebut Jual Divisi PC ke Lonovo',SAMSUNG,UNCATEGORIZED
'okezonenews: Bersaing di Ranah IoT, Samsung Siapkan CPU Baru',SAMSUNG,UNCATEGORIZED
'okezonenews: Imbas Galaxy Note 7, Samsung SDI Ingin Pulihkan Reputasi',SAMSUNG,UNCATEGORIZED
'_ID aku baru coba j5  lumanyann bagus',SAMSUNG,UNCATEGORIZED
'Saya suka video  dari   Unboxing Samsung J7 Prime Indonesia - Nggak Cuma Mewah Doang',SAMSUNG,UNCATEGORIZED
' kalau suka selfie, boleh try kamera ni. Samsung nx3000.',SAMSUNG,UNCATEGORIZED
