@relation NLP

@attribute Tweet string
@attribute Category {SAMSUNG,IPHONE,VIVO,OPPO,XIAOMI,LENOVO}
@attribute Sentiment {POSITIVE,NEUTRAL,NEGATIVE,UNCATEGORIZED}

@data
'suka video unboxing samsung galaxy js prime indonesia  mewahnya kerasa ',SAMSUNG,UNCATEGORIZED
'suka video full review samsung galaxy note  bahasa indonesia ',SAMSUNG,UNCATEGORIZED
'suka video unboxing samsung galaxy js prime indonesia  mewahnya kerasa ',SAMSUNG,UNCATEGORIZED
'suka video samsung galaxy notes  techtalk   ',SAMSUNG,UNCATEGORIZED
'suka video  review  samsung galaxy note   indonesia ',SAMSUNG,UNCATEGORIZED
'suka video samsung galaxy note  review ',SAMSUNG,UNCATEGORIZED
'suka video unboxing samsung galaxy js prime indonesia  mewahnya kerasa ',SAMSUNG,UNCATEGORIZED
'suka video unboxing samsung galaxy js prime indonesia  mewahnya kerasa ',SAMSUNG,UNCATEGORIZED
'suka video samsung z  z review indonesia  hp  ',SAMSUNG,UNCATEGORIZED
'suka video google pixel xl vs samsung galaxy edge  battle of the ',SAMSUNG,UNCATEGORIZED
' suka samsung serius terjun bisnis windows  pc  ',SAMSUNG,UNCATEGORIZED
' harga even samsung prosesor bagus ',SAMSUNG,UNCATEGORIZED
' suka pakai lenovo  taknak try samsung  sonya  iphone       ',SAMSUNG,UNCATEGORIZED
'   video porno  bokepfull mantap  samsung apple smartphone terlaris dunia ',SAMSUNG,UNCATEGORIZED
'   video porno  bokepfull mantap  warga jepara bawa pulang samsung galaxy jj bukopin ',SAMSUNG,UNCATEGORIZED
'suka video review samsung galaxy edge  sempurna  ',SAMSUNG,UNCATEGORIZED
' dijual  jual  iklan  iklanbaris samsung je  bagus ',SAMSUNG,UNCATEGORIZED
' bpnews  aksesoris terbaru pencinta  samsung  suka nomor  ',SAMSUNG,UNCATEGORIZED
'benci samsung  hnjeng  ',SAMSUNG,UNCATEGORIZED
'suka video trinkets samsung galaxy je   water test   ',SAMSUNG,UNCATEGORIZED
'okezonenews  huawei langkahi samsung produsen smartphone menguntungkan ',SAMSUNG,UNCATEGORIZED
'okezonenews  samsung jual divisi pc lonovo ',SAMSUNG,UNCATEGORIZED
'okezonenews  bersaing ranah iot  samsung siapkan cpu ',SAMSUNG,UNCATEGORIZED
'okezonenews  imbas galaxy note   samsung sdi pulihkan reputasi ',SAMSUNG,UNCATEGORIZED
'id coba js lumanyann bagus ',SAMSUNG,UNCATEGORIZED
'suka video unboxing samsung jj prime indonesia  tidak mewah ',SAMSUNG,UNCATEGORIZED
' suka selfie  try kamera  samsung nxeo  ',SAMSUNG,UNCATEGORIZED
'samsung diserbu hp cina  hape cina dinilai jelek   duudu  hancur harga samsung  ',SAMSUNG,UNCATEGORIZED
'suka video irfan pengemis kaya samsung galaxy  iphone ss  jam ',SAMSUNG,UNCATEGORIZED
' samsung c bagus ',SAMSUNG,UNCATEGORIZED
'samsung galaxy j  j prime slalu bagus selfi dimanapunantiselfiegelap ',SAMSUNG,UNCATEGORIZED
' samsung camera bagus oppo ',SAMSUNG,UNCATEGORIZED
' bagus sih kyknya samsung ',SAMSUNG,UNCATEGORIZED
' bagus pakai samsung jj ',SAMSUNG,UNCATEGORIZED
'eljih   tlrp saran merk hp bagus samsungiphone  ',SAMSUNG,UNCATEGORIZED
'suka iklan samsung galaxy jj prime  mas abimana ',SAMSUNG,UNCATEGORIZED
'samsung galaxy ag promantap ya   duh   ',SAMSUNG,UNCATEGORIZED
' tlrp saran merk hp bagus samsungiphone ',SAMSUNG,UNCATEGORIZED
'onlyrpe   tlrp saran merk hp bagus samsungiphone ',SAMSUNG,UNCATEGORIZED
' tlrp saran merk hp bagus samsungiphone ',SAMSUNG,UNCATEGORIZED
' tlrp saran merk hp bagus samsungiphone ',SAMSUNG,UNCATEGORIZED
'onlyrpe   tlrp saran merk hp bagus samsungiphone ',SAMSUNG,UNCATEGORIZED
' tlrp saran merk hp bagus samsungiphone ',SAMSUNG,UNCATEGORIZED
' tlrp saran merk hp bagus samsungiphone ',SAMSUNG,UNCATEGORIZED
'onlyrpe   tlrp saran merk hp bagus samsungiphone ',SAMSUNG,UNCATEGORIZED
'onlyrpe   tlrp saran merk hp bagus samsungiphone ',SAMSUNG,UNCATEGORIZED
' tlrp saran merk hp bagus samsungiphone ',SAMSUNG,UNCATEGORIZED
' ic saran merk hp bagus samsungiphone ',SAMSUNG,UNCATEGORIZED
'okezonenews  gara  gara galaxy note   timbul kepercayaan samsung sdi ',SAMSUNG,UNCATEGORIZED
'suka laptop slim   dapetin mysterious quiz   creativ ',SAMSUNG,UNCATEGORIZED
'suka video  alasan tidak pilih samsung z  z  ',SAMSUNG,UNCATEGORIZED
'permisi juragan ane numpang jualan juragan barang bagus nii monggoo juragan merapat samsung galaxy gold released    ',SAMSUNG,UNCATEGORIZED
'okezonenews  permohonan maaf samsung sd card    gb ',SAMSUNG,UNCATEGORIZED
'motomo printing desain suka suka  promo  hardcase  softcase  custom  iphone  samsung  xiaomi  ',SAMSUNG,UNCATEGORIZED
'sobatj tidak mengalami kesulitan smartphone  share pengalaman ayo id ',SAMSUNG,UNCATEGORIZED
'suka video samsung galaxy jj  review indonesia  harga mid  fitur  power ',SAMSUNG,UNCATEGORIZED
'suka video review samsung galaxy jj prime indonesia  pelengkap jj  ',SAMSUNG,UNCATEGORIZED
' id kalungnya bagus   ',SAMSUNG,UNCATEGORIZED
'suka video fanboy samsung garis keras ',SAMSUNG,UNCATEGORIZED
'   video porno  bokepfull mantap  video  irvan  pengemis iphone ss  samsung note  arloji alexa  ',SAMSUNG,UNCATEGORIZED
'samsung galaxy jj prime bagus  jt iya hm hm hm ',SAMSUNG,UNCATEGORIZED
'suka video review samsung galaxy jj prime indonesia  pelengkap jj  ',SAMSUNG,UNCATEGORIZED
'tidak kerasa ut setaun rusak hp samsung nya    pic   ',SAMSUNG,UNCATEGORIZED
'suka video aetech samsung galaxy ab   unboxing  hands on  ',SAMSUNG,UNCATEGORIZED
'secanggih canggihnya ios  cinta android  sebagus bagusnya iphone  suka pakai samsung  ',SAMSUNG,UNCATEGORIZED
' rules bagus bagus  im proud ur samsung hati  suka ',SAMSUNG,UNCATEGORIZED
'   video porno  bokepfull mantap  kisah irfan  pengemis kedapatan miliki iphone samsung galaxy note ',SAMSUNG,UNCATEGORIZED
' id mantap ',SAMSUNG,UNCATEGORIZED
'hp android murah bagus november   xiaomi  samsung  lenovo  htc  asus ',SAMSUNG,UNCATEGORIZED
'hp android murah bagus november   xiaomi  samsung  lenovo  htc  asus ',SAMSUNG,UNCATEGORIZED
' spek fitur mantap  tinggal berani tidak promosi kaya samsung  oppo  positif ',SAMSUNG,UNCATEGORIZED
'seneng teknisi kerjanya cepeet  pengalaman banget teknisi       at samsung service center   ',SAMSUNG,UNCATEGORIZED
'bilang samsung z  z jelek  tidak setuju   z  z telepon seluler bagus melatih pengendalian emosi  ',SAMSUNG,UNCATEGORIZED
'okezonenews  qualcomm ajak samsung kembangkan snapdragon  ',SAMSUNG,UNCATEGORIZED
'bagus slogannya  samsung  unlimityourself  slogannya  adidas  firstneverfollow    ',SAMSUNG,UNCATEGORIZED
'suka ayah phone samsung prime tu  ',SAMSUNG,UNCATEGORIZED
'samsung suka hati suka tertawa ',SAMSUNG,UNCATEGORIZED
'suka video samsung galaxy jj  review indonesia  juta hp gaming  murah  ',SAMSUNG,UNCATEGORIZED
'suka video samsung galaxy edge vs  iphone gs plus coca  cola freeze test  ',SAMSUNG,UNCATEGORIZED
' pengennya sih xiaomi   jt   walopun tidak suka merknya  samsung  mewah iya sonya  ',SAMSUNG,UNCATEGORIZED
'   video porno  bokepfull mantap  samsung tertarik garap pasar tablet ',SAMSUNG,UNCATEGORIZED
'hp terbaru samsung keren abiz internetnya ag  ram  kamera selfie bagus harga murah  ',SAMSUNG,UNCATEGORIZED
' bagus samsung edgej nara   serbaguna kesel  coba deh  ',SAMSUNG,UNCATEGORIZED
' serius deh   hape xiaomi bagus kah  selfie samsung bagusan   anak beli hape berdasarkan kamera  ',SAMSUNG,UNCATEGORIZED
'cian banget pulang pulau bawa  hape rusak grgr kecemplung    with reza at samsung service center   ',SAMSUNG,UNCATEGORIZED
' heran deh  samsung sih suka erorr   ',SAMSUNG,UNCATEGORIZED
'pengalaman pakai samsung galaxy sa  jelek banget  garansi habis langsung rusak  kena bayar sc rjt  apple aja   ',SAMSUNG,UNCATEGORIZED
'  samsung galaxy js menyebut brand samsung pola pikir produk  produk besutannya  ',SAMSUNG,UNCATEGORIZED
'   video porno  bokepfull mantap  tablet terbaru samsung dilengkapi s  pen ',SAMSUNG,UNCATEGORIZED
' nama angel tipe hape samsung galaxy tab a iya makai indosat jaringanya jelek min    ',SAMSUNG,UNCATEGORIZED
'   video porno  bokepfull mantap  pengemis jpo bawa samsung note  iphone ss ',SAMSUNG,UNCATEGORIZED
'suka video dj lagu joget enak hp samsung ',SAMSUNG,UNCATEGORIZED
'id min tidak penerus galaxy note    edition  iya  ane rusak tab menyamaimelebihi tab ',SAMSUNG,UNCATEGORIZED
'   video porno  bokepfull mantap  iri iya  pengemis cacat  gaji   bawa smartphone iphone  ',SAMSUNG,UNCATEGORIZED
'service center samsung  henpon jelek  ',SAMSUNG,UNCATEGORIZED
'suka video unbonya  review samsung jj prime indonesia ',SAMSUNG,UNCATEGORIZED
'satuh mimin suka samsung  jjprime desainnya  full metal  bahan logam enak digenggam  iya tidak  ',SAMSUNG,UNCATEGORIZED
'samsung galaxy  jjprime cocok suka kebersamaan  selfie muat  ',SAMSUNG,UNCATEGORIZED
' samsung galaxy  jjprime  smartphone cocok suka kebersamaan sharing social media  sharing foto  ',SAMSUNG,UNCATEGORIZED
'  pakai delcell qc   kinerjanya bagus arti charge cepat  dipadukan kepala samsung  ',SAMSUNG,UNCATEGORIZED
'suka video review samsung ag profesional   lega ',SAMSUNG,UNCATEGORIZED
'suka laptop slim   dapetin mysterious quiz   creativ ',SAMSUNG,UNCATEGORIZED
' cari kamera bagus outdoor kuat multitasking  pengin nyoba xiaomi mas  bosen samsung  resmi terbaru  prime note  ',SAMSUNG,UNCATEGORIZED
'tidak suka banget instrumen  over the horizon  samsung   ',SAMSUNG,UNCATEGORIZED
'  suka iphone samsung  ',SAMSUNG,UNCATEGORIZED
'ta suka wifi ruma  terpaksa data digi  online samsung  ipod tersadai  ',SAMSUNG,UNCATEGORIZED
' samsung xiaomi bagus mna  samsung  nya z  z xiaomi nya mis  dibalik  samsung edge xiaomi redmi   ',SAMSUNG,UNCATEGORIZED
'suka video samsung galaxy ab    vs jj prime  speed test    ',SAMSUNG,UNCATEGORIZED
' lawa  suka design  mcm ss githew  tkbest  samsung edge lawa gila  ',SAMSUNG,UNCATEGORIZED
'beli kabelnya samsung takutnya gampang rusak kayak bawaan hp  tidak setahun tidak dipake fast charging ',SAMSUNG,UNCATEGORIZED
' id iya  setau pls panel layar samsung menyaingi ips  sayang kadang suka tidak ditulis spec   ',SAMSUNG,UNCATEGORIZED
'okezonenews  teknologi samsung caplok harman ',SAMSUNG,UNCATEGORIZED
'  samsung  hidup normal lampu dunia paparazzi imagenya rusak  ',SAMSUNG,UNCATEGORIZED
' samsung sih bagus tertawa ',SAMSUNG,UNCATEGORIZED
' kgkbody jelekkalau urusan kamera lumayan  cas  layar  tebel banget positif samsung ae iph s ',SAMSUNG,UNCATEGORIZED
'unit samsung rusak  terburu  buru dibawa servisan tidak resmi  bawa kdr  kdr kediri  ',SAMSUNG,UNCATEGORIZED
'hidup jengkol  anies suka makan jengkol euy     ',SAMSUNG,UNCATEGORIZED
'ag nya samsung kayaknya bagus yah ',SAMSUNG,UNCATEGORIZED
'okezonenews  samsung galaxy aman ledakan ',SAMSUNG,UNCATEGORIZED
'suka video samsung z  z review indonesia  hp  ',SAMSUNG,UNCATEGORIZED
' rusak kali  kya hp samsung kya nyala mati ',SAMSUNG,UNCATEGORIZED
'suka video unboxing samsung jj prime indonesia  tidak mewah ',SAMSUNG,UNCATEGORIZED
'suka video micro sd sim samsung galaxy ae  as  e es ',SAMSUNG,UNCATEGORIZED
'wak bagus  bersyukur  je samsung kahkah ipong lambat ',SAMSUNG,UNCATEGORIZED
'tunggu berita bagus     samsung recall z  z   forceclose dimana   ',SAMSUNG,UNCATEGORIZED
' iyasih xiaomi bagus  nyoba pakai samsung tahan bantin banget  ',SAMSUNG,UNCATEGORIZED
'okezonenews  pasca meledak  samsung tegaskan baterai aman ',SAMSUNG,UNCATEGORIZED
'ready oppo neoafs desain mewah ccok anak remaja  kualitas kamera bagus  ready samsungxiomilenovo  cod juragan ',SAMSUNG,UNCATEGORIZED
'suka video review samsung z  z indonesia ',SAMSUNG,UNCATEGORIZED
'suka video aetech samsung galaxy ab   unboxing  hands on  ',SAMSUNG,UNCATEGORIZED
' js bagus  akalo bandingin harga spec menang xiaomi sihcuma spec lihat harga samsung lbh unggul ',SAMSUNG,UNCATEGORIZED
'id tidak puas kulkas samsung rteb  benerin rusak  makanan busuk bulak beli id ',SAMSUNG,UNCATEGORIZED
'mandi lerr  muka mandi  camera samsung bagus tertawa ',SAMSUNG,UNCATEGORIZED
' chargernya rusak banget  samsung young  young  bha ',SAMSUNG,UNCATEGORIZED
