@relation NLP

@attribute Tweet string
@attribute Category {SAMSUNG,IPHONE,VIVO,OPPO,XIAOMI,LENOVO}
@attribute Sentiment {POSITIVE,NEUTRAL,NEGATIVE,UNCATEGORIZED}

@data
'suka mewah ',SAMSUNG,POSITIVE
'suka ',SAMSUNG,POSITIVE
'suka ',SAMSUNG,POSITIVE
'suka ',SAMSUNG,POSITIVE
'suka ',SAMSUNG,POSITIVE
'suka ',SAMSUNG,POSITIVE
'suka xl of the ',SAMSUNG,POSITIVE
'suka serius terjun windows ',SAMSUNG,POSITIVE
'bagus ',SAMSUNG,POSITIVE
'suka taknak iphone ',SAMSUNG,POSITIVE
'suka sempurna ',SAMSUNG,POSITIVE
'bagus ',SAMSUNG,POSITIVE
'baru samsung suka ',SAMSUNG,POSITIVE
'benci samsung ',SAMSUNG,NEGATIVE
'suka trinkets ',SAMSUNG,POSITIVE
'untung ',SAMSUNG,POSITIVE
'',SAMSUNG,NEGATIVE
'siap cpu ',SAMSUNG,NEGATIVE
'pulih ',SAMSUNG,NEGATIVE
'suka tidak mewah ',SAMSUNG,POSITIVE
'suka selfie samsung ',SAMSUNG,POSITIVE
'c bagus ',SAMSUNG,POSITIVE
'bagus selfi anti gelap ',SAMSUNG,POSITIVE
'bagus oppo ',SAMSUNG,POSITIVE
'bagus samsung ',SAMSUNG,POSITIVE
'bagus samsung ',SAMSUNG,POSITIVE
'merk bagus samsungiphone ',SAMSUNG,POSITIVE
'suka ',SAMSUNG,POSITIVE
'ag pro mantap ya ',SAMSUNG,NEGATIVE
'timbul percaya samsung ',SAMSUNG,POSITIVE
'suka tidak ',SAMSUNG,NEGATIVE
'ane bagus nii rapat samsung ',SAMSUNG,POSITIVE
'suka ',SAMSUNG,POSITIVE
'suka lengkap ',SAMSUNG,POSITIVE
'suka keras ',SAMSUNG,NEGATIVE
'bagus ',SAMSUNG,POSITIVE
'suka lengkap ',SAMSUNG,POSITIVE
'tidak rusak ',SAMSUNG,NEGATIVE
'suka hands on ',SAMSUNG,POSITIVE
'canggih canggih bagus bagus suka samsung ',SAMSUNG,POSITIVE
'bagus bagus samsung suka ',SAMSUNG,POSITIVE
'mantap ',SAMSUNG,NEGATIVE
'mantap tinggal berani tidak kaya samsung positif ',SAMSUNG,POSITIVE
'cepeet at samsung ',SAMSUNG,NEGATIVE
'bilang samsung jelek tidak bagus latih ',SAMSUNG,POSITIVE
'suka ',SAMSUNG,POSITIVE
'samsung suka suka ',SAMSUNG,POSITIVE
'suka juta murah ',SAMSUNG,NEGATIVE
'suka ',SAMSUNG,POSITIVE
'sih xiaomi jt walaupun tidak suka merknya mewah sonya ',SAMSUNG,POSITIVE
'porno mantap samsung ',SAMSUNG,NEGATIVE
'baru keren ag bagus murah ',SAMSUNG,POSITIVE
'bagus samsung serbaguna ',SAMSUNG,POSITIVE
'serius hape xiaomi bagus kah samsung bagus beli ',SAMSUNG,POSITIVE
'pulang rusak grgr cemplung with at samsung ',SAMSUNG,NEGATIVE
'samsung suka ',SAMSUNG,POSITIVE
'jelek habis langsung rusak rjt ',SAMSUNG,NEGATIVE
'besut ',SAMSUNG,POSITIVE
'porno mantap baru lengkap s ',SAMSUNG,POSITIVE
'tab a jelek ',SAMSUNG,NEGATIVE
'porno mantap ',SAMSUNG,NEGATIVE
'suka samsung ',SAMSUNG,POSITIVE
'tidak terus rusak tab menyamai melebihi ',SAMSUNG,POSITIVE
'porno mantap iri smartphone iphone ',SAMSUNG,POSITIVE
