@relation NLP

@attribute Tweet string
@attribute Category {SAMSUNG,IPHONE,VIVO,OPPO,XIAOMI,LENOVO}
@attribute Sentiment {POSITIVE,NEUTRAL,NEGATIVE,UNCATEGORIZED}

@data
'Saya suka video @YouTube dari @dgadgetin https://t.co/ERaM9krj7t Unboxing Samsung Galaxy J5 Prime Indonesia - Mewahnya Kerasa',SAMSUNG,UNCATEGORIZED
'Saya suka video @YouTube https://t.co/JQp2lT27eJ Full Review Samsung Galaxy Note 5 Bahasa Indonesia',SAMSUNG,UNCATEGORIZED
'Saya suka video @YouTube dari @dgadgetin https://t.co/F6v7wdrT8a Unboxing Samsung Galaxy J5 Prime Indonesia - Mewahnya Kerasa',SAMSUNG,UNCATEGORIZED
'Saya suka video @YouTube dari @droidlime https://t.co/88M2rw3WiM Samsung Galaxy Note5 - TechTalk #3',SAMSUNG,UNCATEGORIZED
'Saya suka video @YouTube dari @papersboy https://t.co/sLzUVVSCX2 [REVIEW] Samsung Galaxy Note 5 - Indonesia',SAMSUNG,UNCATEGORIZED
'Saya suka video @YouTube dari @vergevideo https://t.co/kkczQezYsr Samsung Galaxy Note 5 review',SAMSUNG,UNCATEGORIZED
'Saya suka video @YouTube dari @dgadgetin https://t.co/hZwMVOR6sc Unboxing Samsung Galaxy J5 Prime Indonesia - Mewahnya Kerasa',SAMSUNG,UNCATEGORIZED
'Saya suka video @YouTube dari @dgadgetin https://t.co/b0Pu3VQk1O Unboxing Samsung Galaxy J5 Prime Indonesia - Mewahnya Kerasa',SAMSUNG,UNCATEGORIZED
'Saya suka video @YouTube dari @dgadgetin https://t.co/F37PT9OHhB Samsung Z2 Review Indonesia - HP MASA GITU?',SAMSUNG,UNCATEGORIZED
'Saya suka video @YouTube dari @androidauth https://t.co/fdLXF18Ncs Google Pixel XL vs Samsung Galaxy S7 Edge - battle of the',SAMSUNG,UNCATEGORIZED
'@OnMSL Saya lebih suka jika Samsung lebih serius terjun ke bisnis Windows 10 PC.',SAMSUNG,UNCATEGORIZED
'@rezatrip_ harga sama even samsung pun punya prosesor yang lebih bagus',SAMSUNG,UNCATEGORIZED
'@nazifatunnajah suka tak pakai lenovo? Taknak try samsung? Sony? Iphone? ??????',SAMSUNG,UNCATEGORIZED
'? https://t.co/QfdR1QcLmF ?? #bokep #bokepfull Mantap ? Samsung dan Apple Masih Menjadi Smartphone Terlaris di Dunia',SAMSUNG,UNCATEGORIZED
'? https://t.co/Qe2dV0fHsT ?? #bokep #bokepfull Mantap ? Warga Jepara Bawa Pulang Samsung Galaxy J7 dari Bukopin',SAMSUNG,UNCATEGORIZED
'Saya suka video @YouTube dari @papersboy https://t.co/0ik3TVMx07 Review Samsung Galaxy S7 Edge - Sempurna?',SAMSUNG,UNCATEGORIZED
'#dijual #jual #iklan #iklanbaris Samsung j3 2016 bagus seperti baru https://t.co/HNsgI6V08L https://t.co/RF5Wmo187Y',SAMSUNG,UNCATEGORIZED
'#BPNews Ini Dia 6 Aksesoris Terbaru Bagi Kamu Pencinta #Samsung! Suka yang Nomor Berapa? https://t.co/Yv65fEkP66',SAMSUNG,UNCATEGORIZED
'aq benci samsung , hnjenk .',SAMSUNG,UNCATEGORIZED
'Saya suka video @YouTube dari @tech_trinkets https://t.co/YBIjRlm5ut Samsung Galaxy J3 2016 - Water Test (4K)',SAMSUNG,UNCATEGORIZED
'okezonenews: Huawei Langkahi Samsung sebagai Produsen Smartphone Paling Menguntungkan https://t.co/Lntkue3Mv3 https://t.co/uSYONyy5mJ',SAMSUNG,UNCATEGORIZED
'okezonenews: Samsung Disebut Jual Divisi PC ke Lonovo https://t.co/AAY6Px9xJG https://t.co/gQ2tuSHB0g',SAMSUNG,UNCATEGORIZED
'okezonenews: Bersaing di Ranah IoT, Samsung Siapkan CPU Baru https://t.co/pIce2wO6pI https://t.co/F53zaXKO2J',SAMSUNG,UNCATEGORIZED
'okezonenews: Imbas Galaxy Note 7, Samsung SDI Ingin Pulihkan Reputasi https://t.co/Jsh3cx7F0c https://t.co/8yFLqycIRj',SAMSUNG,UNCATEGORIZED
'@Samsung_ID aku baru coba j5  lumanyann bagus',SAMSUNG,UNCATEGORIZED
'Saya suka video @YouTube dari @dgadgetin https://t.co/iMCB637SII Unboxing Samsung J7 Prime Indonesia - Nggak Cuma Mewah Doang',SAMSUNG,UNCATEGORIZED
'@NazimOthman kalau suka selfie, boleh try kamera ni. Samsung nx3000. https://t.co/1sfS2IvAy9',SAMSUNG,UNCATEGORIZED
'Samsung diserbu hp cina, dulu hape cina dinilai jelek, tp sekarang, dudududuudu. Hancur harga samsung.',SAMSUNG,UNCATEGORIZED
'Saya suka video @YouTube dari @metrowalmascom https://t.co/G6itlh74dc Irfan Pengemis Kaya yang Punya Samsung Galaxy, iPhone 5S, Jam',SAMSUNG,UNCATEGORIZED
'@PLAYMFS samsung c bagus tuh',SAMSUNG,UNCATEGORIZED
'Samsung galaxy j2 prime slalu bagus untuk selfi dimanapun..#AntiSelfieGelap https://t.co/x2fdatQcv0 https://t.co/1FNXybBHPw',SAMSUNG,UNCATEGORIZED
'@rpwbaseu @kkangcseul samsung tapi kalo camera masih bagus oppo',SAMSUNG,UNCATEGORIZED
'@rpjohyuk yg jelas bagus sih kyknya samsung',SAMSUNG,UNCATEGORIZED
'@rpjohyuk bagus \nDulu pernah pake samsung J7',SAMSUNG,UNCATEGORIZED
'Eljih \"@ONLYRPE: #TLRP saran merk hp yang bagus selain samsung/iphone\"',SAMSUNG,UNCATEGORIZED
'Suka sama Iklan Samsung Galaxy J7 Prime. Mas Abimanaaaaaaa',SAMSUNG,UNCATEGORIZED
'Samsung Galaxy A9 Pro......mantap ya... duh...',SAMSUNG,UNCATEGORIZED
'#TLRP saran merk hp yang bagus selain samsung/iphone',SAMSUNG,UNCATEGORIZED
'ONLYRPE: #TLRP saran merk hp yang bagus selain samsung/iphone',SAMSUNG,UNCATEGORIZED
'#TLRP saran merk hp yang bagus selain samsung/iphone',SAMSUNG,UNCATEGORIZED
'#TLRP saran merk hp yang bagus selain samsung/iphone',SAMSUNG,UNCATEGORIZED
'ONLYRPE: #TLRP saran merk hp yang bagus selain samsung/iphone',SAMSUNG,UNCATEGORIZED
'#TLRP saran merk hp yang bagus selain samsung/iphone',SAMSUNG,UNCATEGORIZED
'#TLRP saran merk hp yang bagus selain samsung/iphone',SAMSUNG,UNCATEGORIZED
'ONLYRPE: #TLRP saran merk hp yang bagus selain samsung/iphone',SAMSUNG,UNCATEGORIZED
'ONLYRPE: #TLRP saran merk hp yang bagus selain samsung/iphone',SAMSUNG,UNCATEGORIZED
'#TLRP saran merk hp yang bagus selain samsung/iphone',SAMSUNG,UNCATEGORIZED
'#ic saran merk hp yang bagus selain samsung/iphone',SAMSUNG,UNCATEGORIZED
'okezonenews: Gara-Gara Galaxy Note 7, Timbul Masalah Kepercayaan Samsung SDI https://t.co/zq5Mq5dqSa https://t.co/yqOsvrEqet',SAMSUNG,UNCATEGORIZED
'Lebih suka sama laptop slim atau yang Gimana? kalau yg ini: https://t.co/2Z1bseWpsR  Dapetin mysterious quiz juga! #creATIV',SAMSUNG,UNCATEGORIZED
'Saya suka video @YouTube dari @dgadgetin https://t.co/LWOhfgABL2 5 Alasan Untuk Tidak Pilih Samsung Z2!',SAMSUNG,UNCATEGORIZED
'Permisi gan ane numpang jualan ni gan barang bagus nii monggoo gan merapat\n\nSamsung Galaxy A7 Gold\nReleased 2015,... https://t.co/H4Z3S9d3CY',SAMSUNG,UNCATEGORIZED
'okezonenews: Permohonan Maaf Samsung Melalui SD Card 128 GB https://t.co/QbOVqJ7h9F https://t.co/FuVnZQ5gMY',SAMSUNG,UNCATEGORIZED
