@relation NLP

@attribute Tweet string
@attribute Category {SAMSUNG,IPHONE,VIVO,OPPO,XIAOMI,LENOVO}
@attribute Sentiment {POSITIVE,NEUTRAL,NEGATIVE,UNCATEGORIZED}

@data
'Saya suka video Unboxing Samsung Galaxy Js Prime Indonesia  Mewahnya Kerasa ',SAMSUNG,UNCATEGORIZED
'Saya suka video Full Review Samsung Galaxy Note  Bahasa Indonesia ',SAMSUNG,UNCATEGORIZED
'Saya suka video Unboxing Samsung Galaxy Js Prime Indonesia  Mewahnya Kerasa ',SAMSUNG,UNCATEGORIZED
'Saya suka video Samsung Galaxy Notes  TechTalk   ',SAMSUNG,UNCATEGORIZED
'Saya suka video  REVIEW  Samsung Galaxy Note   Indonesia ',SAMSUNG,UNCATEGORIZED
'Saya suka video Samsung Galaxy Note  review ',SAMSUNG,UNCATEGORIZED
'Saya suka video Unboxing Samsung Galaxy Js Prime Indonesia  Mewahnya Kerasa ',SAMSUNG,UNCATEGORIZED
'Saya suka video Unboxing Samsung Galaxy Js Prime Indonesia  Mewahnya Kerasa ',SAMSUNG,UNCATEGORIZED
'Saya suka video Samsung Zr Review Indonesia  HP MASA GITU  ',SAMSUNG,UNCATEGORIZED
'Saya suka video Google Pixel XL vs Samsung Galaxy Sj Edge  battle of the ',SAMSUNG,UNCATEGORIZED
' Saya suka Samsung serius terjun bisnis Windows  PC  ',SAMSUNG,UNCATEGORIZED
' harga even samsung prosesor bagus ',SAMSUNG,UNCATEGORIZED
' suka pakai lenovo  Taknak try samsung  Sonya  Iphone       ',SAMSUNG,UNCATEGORIZED
'   video porno  bokepfull Mantap  Samsung Apple Masih Menjadi Smartphone Terlaris Dunia ',SAMSUNG,UNCATEGORIZED
'   video porno  bokepfull Mantap  Warga Jepara Bawa Pulang Samsung Galaxy Jj Bukopin ',SAMSUNG,UNCATEGORIZED
'Saya suka video Review Samsung Galaxy Sj Edge  Sempurna  ',SAMSUNG,UNCATEGORIZED
' dijual  jual  iklan  iklanbaris Samsung je  bagus ',SAMSUNG,UNCATEGORIZED
' BPNews Ini Dia  Aksesoris Terbaru Bagi Kamu Pencinta  Samsung  Suka Nomor Berapa  ',SAMSUNG,UNCATEGORIZED
'benci samsung  hnjeng  ',SAMSUNG,UNCATEGORIZED
