@relation NLP

@attribute Tweet string
@attribute Category {SAMSUNG,IPHONE,VIVO,OPPO,XIAOMI,LENOVO}
@attribute Sentiment {POSITIVE,NEUTRAL,NEGATIVE,UNCATEGORIZED}

@data
'Saya suka video @YouTube dari @dgadgetin  Unboxing Samsung Galaxy J5 Prime Indonesia - Mewahnya Kerasa',SAMSUNG,UNCATEGORIZED
'Saya suka video @YouTube  Full Review Samsung Galaxy Note 5 Bahasa Indonesia',SAMSUNG,UNCATEGORIZED
'Saya suka video @YouTube dari @dgadgetin  Unboxing Samsung Galaxy J5 Prime Indonesia - Mewahnya Kerasa',SAMSUNG,UNCATEGORIZED
'Saya suka video @YouTube dari @droidlime  Samsung Galaxy Note5 - TechTalk #3',SAMSUNG,UNCATEGORIZED
'Saya suka video @YouTube dari @papersboy  [REVIEW] Samsung Galaxy Note 5 - Indonesia',SAMSUNG,UNCATEGORIZED
'Saya suka video @YouTube dari @vergevideo  Samsung Galaxy Note 5 review',SAMSUNG,UNCATEGORIZED
'Saya suka video @YouTube dari @dgadgetin  Unboxing Samsung Galaxy J5 Prime Indonesia - Mewahnya Kerasa',SAMSUNG,UNCATEGORIZED
'Saya suka video @YouTube dari @dgadgetin  Unboxing Samsung Galaxy J5 Prime Indonesia - Mewahnya Kerasa',SAMSUNG,UNCATEGORIZED
'Saya suka video @YouTube dari @dgadgetin  Samsung Z2 Review Indonesia - HP MASA GITU?',SAMSUNG,UNCATEGORIZED
'Saya suka video @YouTube dari @androidauth  Google Pixel XL vs Samsung Galaxy S7 Edge - battle of the',SAMSUNG,UNCATEGORIZED
'@OnMSL Saya lebih suka jika Samsung lebih serius terjun ke bisnis Windows 10 PC.',SAMSUNG,UNCATEGORIZED
'@rezatrip_ harga sama even samsung pun punya prosesor yang lebih bagus',SAMSUNG,UNCATEGORIZED
'@nazifatunnajah suka tak pakai lenovo? Taknak try samsung? Sony? Iphone? ??????',SAMSUNG,UNCATEGORIZED
'?  ?? #bokep #bokepfull Mantap ? Samsung dan Apple Masih Menjadi Smartphone Terlaris di Dunia',SAMSUNG,UNCATEGORIZED
'?  ?? #bokep #bokepfull Mantap ? Warga Jepara Bawa Pulang Samsung Galaxy J7 dari Bukopin',SAMSUNG,UNCATEGORIZED
'Saya suka video @YouTube dari @papersboy  Review Samsung Galaxy S7 Edge - Sempurna?',SAMSUNG,UNCATEGORIZED
'#dijual #jual #iklan #iklanbaris Samsung j3 2016 bagus seperti baru',SAMSUNG,UNCATEGORIZED
'#BPNews Ini Dia 6 Aksesoris Terbaru Bagi Kamu Pencinta #Samsung! Suka yang Nomor Berapa?',SAMSUNG,UNCATEGORIZED
'aq benci samsung , hnjenk .',SAMSUNG,UNCATEGORIZED
'Saya suka video @YouTube dari @tech_trinkets  Samsung Galaxy J3 2016 - Water Test (4K)',SAMSUNG,UNCATEGORIZED
'okezonenews: Huawei Langkahi Samsung sebagai Produsen Smartphone Paling Menguntungkan',SAMSUNG,UNCATEGORIZED
'okezonenews: Samsung Disebut Jual Divisi PC ke Lonovo',SAMSUNG,UNCATEGORIZED
'okezonenews: Bersaing di Ranah IoT, Samsung Siapkan CPU Baru',SAMSUNG,UNCATEGORIZED
'okezonenews: Imbas Galaxy Note 7, Samsung SDI Ingin Pulihkan Reputasi',SAMSUNG,UNCATEGORIZED
'@Samsung_ID aku baru coba j5  lumanyann bagus',SAMSUNG,UNCATEGORIZED
'Saya suka video @YouTube dari @dgadgetin  Unboxing Samsung J7 Prime Indonesia - Nggak Cuma Mewah Doang',SAMSUNG,UNCATEGORIZED
'@NazimOthman kalau suka selfie, boleh try kamera ni. Samsung nx3000.',SAMSUNG,UNCATEGORIZED
'Samsung diserbu hp cina, dulu hape cina dinilai jelek, tp sekarang, dudududuudu. Hancur harga samsung.',SAMSUNG,UNCATEGORIZED
'Saya suka video @YouTube dari @metrowalmascom  Irfan Pengemis Kaya yang Punya Samsung Galaxy, iPhone 5S, Jam',SAMSUNG,UNCATEGORIZED
'@PLAYMFS samsung c bagus tuh',SAMSUNG,UNCATEGORIZED
'Samsung galaxy j2 prime slalu bagus untuk selfi dimanapun..#AntiSelfieGelap',SAMSUNG,UNCATEGORIZED
'@rpwbaseu @kkangcseul samsung tapi kalo camera masih bagus oppo',SAMSUNG,UNCATEGORIZED
'@rpjohyuk yg jelas bagus sih kyknya samsung',SAMSUNG,UNCATEGORIZED
'@rpjohyuk bagus \nDulu pernah pake samsung J7',SAMSUNG,UNCATEGORIZED
'Eljih \"@ONLYRPE: #TLRP saran merk hp yang bagus selain samsung/iphone\"',SAMSUNG,UNCATEGORIZED
'Suka sama Iklan Samsung Galaxy J7 Prime. Mas Abimanaaaaaaa',SAMSUNG,UNCATEGORIZED
'Samsung Galaxy A9 Pro......mantap ya... duh...',SAMSUNG,UNCATEGORIZED
'#TLRP saran merk hp yang bagus selain samsung/iphone',SAMSUNG,UNCATEGORIZED
'ONLYRPE: #TLRP saran merk hp yang bagus selain samsung/iphone',SAMSUNG,UNCATEGORIZED
'#TLRP saran merk hp yang bagus selain samsung/iphone',SAMSUNG,UNCATEGORIZED
'#TLRP saran merk hp yang bagus selain samsung/iphone',SAMSUNG,UNCATEGORIZED
'ONLYRPE: #TLRP saran merk hp yang bagus selain samsung/iphone',SAMSUNG,UNCATEGORIZED
'#TLRP saran merk hp yang bagus selain samsung/iphone',SAMSUNG,UNCATEGORIZED
'#TLRP saran merk hp yang bagus selain samsung/iphone',SAMSUNG,UNCATEGORIZED
'ONLYRPE: #TLRP saran merk hp yang bagus selain samsung/iphone',SAMSUNG,UNCATEGORIZED
'ONLYRPE: #TLRP saran merk hp yang bagus selain samsung/iphone',SAMSUNG,UNCATEGORIZED
'#TLRP saran merk hp yang bagus selain samsung/iphone',SAMSUNG,UNCATEGORIZED
'#ic saran merk hp yang bagus selain samsung/iphone',SAMSUNG,UNCATEGORIZED
'okezonenews: Gara-Gara Galaxy Note 7, Timbul Masalah Kepercayaan Samsung SDI',SAMSUNG,UNCATEGORIZED
'Lebih suka sama laptop slim atau yang Gimana? kalau yg ini:   Dapetin mysterious quiz juga! #creATIV',SAMSUNG,UNCATEGORIZED
'Saya suka video @YouTube dari @dgadgetin  5 Alasan Untuk Tidak Pilih Samsung Z2!',SAMSUNG,UNCATEGORIZED
'Permisi gan ane numpang jualan ni gan barang bagus nii monggoo gan merapat\n\nSamsung Galaxy A7 Gold\nReleased 2015,...',SAMSUNG,UNCATEGORIZED
'okezonenews: Permohonan Maaf Samsung Melalui SD Card 128 GB',SAMSUNG,UNCATEGORIZED
'Motomo Printing\nDesain Suka Suka\n#promo #Hardcase #softcase #custom #iphone #samsung #xiaomi…',SAMSUNG,UNCATEGORIZED
'Sobat7 pernah ngga mengalami kesulitan menggunakan smartphone baru kalian? Share pengalaman kalian yuk @Samsung_ID',SAMSUNG,UNCATEGORIZED
'Saya suka video @YouTube dari @dgadgetin  Samsung Galaxy J7 2016 Review Indonesia - Harga Mid, Fitur Low, Power',SAMSUNG,UNCATEGORIZED
'Saya suka video @YouTube dari @dgadgetin  Review Samsung Galaxy J7 Prime Indonesia - Pelengkap J7 2016',SAMSUNG,UNCATEGORIZED
'@mafiawasit @samsung_id kalungnya bagus..',SAMSUNG,UNCATEGORIZED
'Saya suka video @YouTube  Fanboy Samsung Garis Keras',SAMSUNG,UNCATEGORIZED
'?  ?? #bokep #bokepfull Mantap ? VIDEO :Inilah Irvan, Pengemis yang Punya Iphone 5S, Samsung Note, dan Arloji Alexa…',SAMSUNG,UNCATEGORIZED
'Samsung Galaxy J7 Prime ini bagus juga, 3,8jt ya hm hm hm',SAMSUNG,UNCATEGORIZED
'Saya suka video @YouTube dari @dgadgetin  Review Samsung Galaxy J7 Prime Indonesia - Pelengkap J7 2016',SAMSUNG,UNCATEGORIZED
'Ga kerasa udh setaun rusak hp samsung nya?????? [pic] —',SAMSUNG,UNCATEGORIZED
'Saya suka video @YouTube dari @c4etech  Samsung Galaxy A8 2016 - Unboxing & Hands On!',SAMSUNG,UNCATEGORIZED
'secanggih canggihnya ios, gua lebih cinta android. sebagus bagusnya iphone, gua lebih suka pake samsung.',SAMSUNG,UNCATEGORIZED
'@nasuhanadira @Chang_rules bagus bagus. Im proud ur samsung di hati anda. saya sukaaa',SAMSUNG,UNCATEGORIZED
'?  ?? #bokep #bokepfull Mantap ? Kisah Irfan, Pengemis yang Kedapatan Miliki Iphone dan Samsung Galaxy Note',SAMSUNG,UNCATEGORIZED
'@Lanypermatasar1 @Samsung_ID \nMantap',SAMSUNG,UNCATEGORIZED
'HP Android Murah Tapi Bagus Bulan November 2016  #Xiaomi #samsung #lenovo #HTC #Asus',SAMSUNG,UNCATEGORIZED
'HP Android Murah Tapi Bagus Bulan November 2016  #Xiaomi #samsung #lenovo #HTC #Asus',SAMSUNG,UNCATEGORIZED
'@herrysw spek dan fitur sudah mantap. Tinggal berani ngga promosi kaya samsung / oppo? :)',SAMSUNG,UNCATEGORIZED
'Paling seneng sama teknisi yg kerjanya cepeet. Pengalaman banget dah jd teknisi ?????? (at Samsung Service Center) —',SAMSUNG,UNCATEGORIZED
'Kalau ada yg bilang Samsung Z2 jelek, saya tidak setuju. Sebab, Z2 adalah ponsel yg amat bagus untuk melatih pengendalian emosi.',SAMSUNG,UNCATEGORIZED
'okezonenews: Qualcomm Ajak Samsung Kembangkan Snapdragon 835',SAMSUNG,UNCATEGORIZED
'Bagus juga slogannya #Samsung yg #UnLimitYourSelf & slogannya #Adidas #FirstNeverFollow ...',SAMSUNG,UNCATEGORIZED
'Suka lah ayah aku dapat phone baru Samsung Prime tu~',SAMSUNG,UNCATEGORIZED
'Samsung sebab suka hati lah aku punya suka haha',SAMSUNG,UNCATEGORIZED
'Saya suka video @YouTube dari @obatgaptek  Samsung Galaxy J7 2016 Review Indonesia : 3,3Juta HP Gaming \"Murah\"',SAMSUNG,UNCATEGORIZED
'Saya suka video @YouTube dari @adrianisen  Samsung Galaxy S7 Edge vs. iPhone 6S Plus Coca-Cola Freeze Test 9',SAMSUNG,UNCATEGORIZED
'@NCLYS pengennya sih Xiaomi, soalnya bs di bawah 10 jt. Atau, walopun ga suka merknya, Samsung. Mau yg mewah ya Sony.',SAMSUNG,UNCATEGORIZED
'?  ?? #bokep #bokepfull Mantap ? Samsung Masih Tertarik Garap Pasar Tablet',SAMSUNG,UNCATEGORIZED
'Ada HP Terbaru dari samsung yang keren Abiz ne Internetnya udah 4G, RAM besar & Kamera selfie bagus dan harga murah.',SAMSUNG,UNCATEGORIZED
'@narazwei bagus samsung edge7 nara... serbaguna kalo km lg kesel sama seseorang. Coba deh ..',SAMSUNG,UNCATEGORIZED
'@whispr__ serius deh.. hape xiaomi bagus kah? Kalo buat selfie sama samsung bagusan mana? *naq beli hape berdasarkan kamera*',SAMSUNG,UNCATEGORIZED
