@relation NLP

@attribute Tweet string
@attribute Category {SAMSUNG,IPHONE,VIVO,OPPO,XIAOMI,LENOVO}
@attribute Sentiment {POSITIVE,NEUTRAL,NEGATIVE,UNCATEGORIZED}

@data
'Saya suka video Unboxing Samsung Galaxy Js Prime Indonesia - Mewahnya Kerasa ',SAMSUNG,UNCATEGORIZED
'Saya suka video Full Review Samsung Galaxy Note 5 Bahasa Indonesia ',SAMSUNG,UNCATEGORIZED
'Saya suka video Unboxing Samsung Galaxy Js Prime Indonesia - Mewahnya Kerasa ',SAMSUNG,UNCATEGORIZED
'Saya suka video Samsung Galaxy Notes - TechTalk # 3 ',SAMSUNG,UNCATEGORIZED
'Saya suka video [ REVIEW ] Samsung Galaxy Note 5 - Indonesia ',SAMSUNG,UNCATEGORIZED
'Saya suka video Samsung Galaxy Note 5 review ',SAMSUNG,UNCATEGORIZED
'Saya suka video Unboxing Samsung Galaxy Js Prime Indonesia - Mewahnya Kerasa ',SAMSUNG,UNCATEGORIZED
'Saya suka video Unboxing Samsung Galaxy Js Prime Indonesia - Mewahnya Kerasa ',SAMSUNG,UNCATEGORIZED
'Saya suka video Samsung Zr Review Indonesia - HP MASA GITU ? ',SAMSUNG,UNCATEGORIZED
'Saya suka video Google Pixel XL vs Samsung Galaxy Sj Edge - battle of the ',SAMSUNG,UNCATEGORIZED
' Saya suka Samsung serius terjun bisnis Windows 10 PC . ',SAMSUNG,UNCATEGORIZED
'_ harga even samsung prosesor bagus ',SAMSUNG,UNCATEGORIZED
' suka pakai lenovo ? Taknak try samsung ? Sonya ? Iphone ? ? ? ?? ? ? ',SAMSUNG,UNCATEGORIZED
'? ?? # video porno # bokepfull Mantap ? Samsung Apple Masih Menjadi Smartphone Terlaris Dunia ',SAMSUNG,UNCATEGORIZED
'? ?? # video porno # bokepfull Mantap ? Warga Jepara Bawa Pulang Samsung Galaxy Jj Bukopin ',SAMSUNG,UNCATEGORIZED
'Saya suka video Review Samsung Galaxy Sj Edge - Sempurna ? ',SAMSUNG,UNCATEGORIZED
'# dijual # jual # iklan # iklanbaris Samsung je 2016 bagus ',SAMSUNG,UNCATEGORIZED
'# BPNews Ini Dia 6 Aksesoris Terbaru Bagi Kamu Pencinta # Samsung ! Suka Nomor Berapa ? ',SAMSUNG,UNCATEGORIZED
'benci samsung , hnjeng . ',SAMSUNG,UNCATEGORIZED
'Saya suka video _trinkets Samsung Galaxy Je 2016 - Water Test ( aK ) ',SAMSUNG,UNCATEGORIZED
'okezonenews : Huawei Langkahi Samsung Produsen Smartphone Paling Menguntungkan ',SAMSUNG,UNCATEGORIZED
'okezonenews : Samsung Disebut Jual Divisi PC Lonovo ',SAMSUNG,UNCATEGORIZED
'okezonenews : Bersaing Ranah IoT , Samsung Siapkan CPU Baru ',SAMSUNG,UNCATEGORIZED
'okezonenews : Imbas Galaxy Note 7 , Samsung SDI Ingin Pulihkan Reputasi ',SAMSUNG,UNCATEGORIZED
'_ID coba js lumanyann bagus ',SAMSUNG,UNCATEGORIZED
'Saya suka video Unboxing Samsung Jj Prime Indonesia - Nggak Cuma Mewah Doang ',SAMSUNG,UNCATEGORIZED
' suka selfie , try kamera . Samsung nxeo . ',SAMSUNG,UNCATEGORIZED
'Samsung diserbu hp cina , hape cina dinilai jelek , , duudu . Hancur harga samsung . ',SAMSUNG,UNCATEGORIZED
'Saya suka video Irfan Pengemis Kaya Punya Samsung Galaxy , iPhone sS , Jam ',SAMSUNG,UNCATEGORIZED
' samsung c bagus ',SAMSUNG,UNCATEGORIZED
'Samsung galaxy j - j prime slalu bagus selfi dimanapun..#AntiSelfieGelap ',SAMSUNG,UNCATEGORIZED
' samsung camera bagus oppo ',SAMSUNG,UNCATEGORIZED
' bagus sih kyknya samsung ',SAMSUNG,UNCATEGORIZED
' bagus Dulu pakai samsung Jj ',SAMSUNG,UNCATEGORIZED
'Eljih \": # TLRP saran merk hp bagus samsung/iphone \" ',SAMSUNG,UNCATEGORIZED
'Suka Iklan Samsung Galaxy Jj Prime . Mas Abimana ',SAMSUNG,UNCATEGORIZED
'Samsung Galaxy Ag Pro......mantap ya. . . duh. . . ',SAMSUNG,UNCATEGORIZED
'# TLRP saran merk hp bagus samsung/iphone ',SAMSUNG,UNCATEGORIZED
'ONLYRPE : # TLRP saran merk hp bagus samsung/iphone ',SAMSUNG,UNCATEGORIZED
'# TLRP saran merk hp bagus samsung/iphone ',SAMSUNG,UNCATEGORIZED
'# TLRP saran merk hp bagus samsung/iphone ',SAMSUNG,UNCATEGORIZED
'ONLYRPE : # TLRP saran merk hp bagus samsung/iphone ',SAMSUNG,UNCATEGORIZED
'# TLRP saran merk hp bagus samsung/iphone ',SAMSUNG,UNCATEGORIZED
'# TLRP saran merk hp bagus samsung/iphone ',SAMSUNG,UNCATEGORIZED
'ONLYRPE : # TLRP saran merk hp bagus samsung/iphone ',SAMSUNG,UNCATEGORIZED
'ONLYRPE : # TLRP saran merk hp bagus samsung/iphone ',SAMSUNG,UNCATEGORIZED
'# TLRP saran merk hp bagus samsung/iphone ',SAMSUNG,UNCATEGORIZED
'# ic saran merk hp bagus samsung/iphone ',SAMSUNG,UNCATEGORIZED
'okezonenews : Gara - Gara Galaxy Note 7 , Timbul Masalah Kepercayaan Samsung SDI ',SAMSUNG,UNCATEGORIZED
'Lebih suka laptop slim Gimana ? : Dapetin mysterious quiz ! # creATIV ',SAMSUNG,UNCATEGORIZED
'Saya suka video 5 Alasan Untuk Tidak Pilih Samsung Zr ! ',SAMSUNG,UNCATEGORIZED
