@relation NLP

@attribute Tweet string
@attribute Category {SAMSUNG,IPHONE,VIVO,OPPO,XIAOMI,LENOVO}
@attribute Sentiment {POSITIVE,NEUTRAL,NEGATIVE,UNCATEGORIZED}

@data
'suka-VBI video-NN unboxing-NN samsung-NN galaxy-NN js-NN prime-NN indonesia-NN mewah-JJ rasa-NN ',SAMSUNG,UNCATEGORIZED
'suka-VBI video-NN full-NN review-NN samsung-NN galaxy-NN note-NN bahasa-NN indonesia-NN ',SAMSUNG,UNCATEGORIZED
'suka-VBI video-NN unboxing-NN samsung-NN galaxy-NN js-NN prime-NN indonesia-NN mewah-JJ rasa-NN ',SAMSUNG,UNCATEGORIZED
'suka-VBI video-NN samsung-NN galaxy-NN notes-NN techtalk-NN ',SAMSUNG,UNCATEGORIZED
'suka-VBI video-NN review-NN samsung-NN galaxy-NN note-NN indonesia-NN ',SAMSUNG,UNCATEGORIZED
'suka-VBI video-NN samsung-NN galaxy-NN note-NN review-NN ',SAMSUNG,UNCATEGORIZED
'suka-VBI video-NN unboxing-NN samsung-NN galaxy-NN js-NN prime-NN indonesia-NN mewah-JJ rasa-NN ',SAMSUNG,UNCATEGORIZED
'suka-VBI video-NN unboxing-NN samsung-NN galaxy-NN js-NN prime-NN indonesia-NN mewah-JJ rasa-NN ',SAMSUNG,UNCATEGORIZED
'suka-VBI video-NN samsung-NN z-NN z-NN review-NN indonesia-NN hp-NN ',SAMSUNG,UNCATEGORIZED
'suka-VBI video-NN google-NN pixel-NN xl-SYM vs-NN samsung-NN galaxy-NN edge-NN battle-NN of-FW the-FW ',SAMSUNG,UNCATEGORIZED
'suka-VBI samsung-NN serius-JJ terjun-VBT bisnis-NN windows-FW pc-NN ',SAMSUNG,UNCATEGORIZED
'harga-NN even-NN samsung-NN prosesor-NN bagus-IN ',SAMSUNG,UNCATEGORIZED
'suka-VBI pakai-NN lenovo-NN taknak-NEG try-NN samsung-NN sonya-NN iphone-NNP ',SAMSUNG,UNCATEGORIZED
'suka-VBI video-NN review-NN samsung-NN galaxy-NN edge-NN sempurna-JJ ',SAMSUNG,UNCATEGORIZED
'jual-NN jual-NN iklan-NN iklanbaris-NN samsung-NN je-NN bagus-IN ',SAMSUNG,UNCATEGORIZED
'bpnews-NN aksesoris-NN baru-JJ cinta-NN samsung-JJ suka-VBI nomor-NN ',SAMSUNG,UNCATEGORIZED
'benci-VBI samsung-SC hnjeng-NN ',SAMSUNG,UNCATEGORIZED
'suka-VBI video-NN trinkets-CDP samsung-NN galaxy-NN je-NN water-NN test-NN ',SAMSUNG,UNCATEGORIZED
'okezonenews-NN huawei-NN langkahi-NN samsung-NN produsen-NN smartphone-NN untung-IN ',SAMSUNG,UNCATEGORIZED
'okezonenews-NN samsung-NN jual-NN divisi-NN pc-NN lonovo-NN ',SAMSUNG,UNCATEGORIZED
'okezonenews-NN saing-NN ranah-NN iot-NN samsung-NN siap-JJ cpu-NNP ',SAMSUNG,UNCATEGORIZED
'okezonenews-NN imbas-NN galaxy-NN note-NN samsung-NN sdi-NN pulih-RB reputasi-NN ',SAMSUNG,UNCATEGORIZED
'id-NN coba-NN js-NN lumanyann-NN bagus-IN ',SAMSUNG,UNCATEGORIZED
'suka-VBI video-NN unboxing-NN samsung-NN jj-NN prime-NN indonesia-NN tidak-NEG mewah-JJ ',SAMSUNG,UNCATEGORIZED
'suka-VBI selfie-IN try-NN kamera-NN samsung-VBT nxeo-NN ',SAMSUNG,UNCATEGORIZED
'samsung-NN serbu-NN hp-NN cina-NN hape-NN cina-NN nilai-NN jelek-JJ duudu-NN hancur-RB harga-NN samsung-JJ ',SAMSUNG,UNCATEGORIZED
