@relation NLP

@attribute Tweet string
@attribute Category {SAMSUNG,IPHONE,VIVO,OPPO,XIAOMI,LENOVO}
@attribute Sentiment {POSITIVE,NEUTRAL,NEGATIVE,UNCATEGORIZED}

@data
'suka video unboxing samsung galaxy js prime indonesia mewah rasa',SAMSUNG,UNCATEGORIZED
'suka video full review samsung galaxy note bahasa indonesia',SAMSUNG,UNCATEGORIZED
'suka video samsung galaxy notes techtalk',SAMSUNG,UNCATEGORIZED
'suka video review samsung galaxy note indonesia',SAMSUNG,UNCATEGORIZED
'suka video samsung galaxy note review',SAMSUNG,UNCATEGORIZED
'suka video samsung z z review indonesia hp',SAMSUNG,UNCATEGORIZED
'suka video google pixel xl vs samsung galaxy edge battle of the',SAMSUNG,UNCATEGORIZED
'suka samsung serius terjun bisnis windows pc',SAMSUNG,UNCATEGORIZED
'harga even samsung prosesor bagus',SAMSUNG,UNCATEGORIZED
'suka pakai lenovo taknak try samsung sonya iphone',SAMSUNG,UNCATEGORIZED
'suka video review samsung galaxy edge sempurna',SAMSUNG,UNCATEGORIZED
'jual jual iklan iklanbaris samsung je bagus',SAMSUNG,UNCATEGORIZED
'bpnews aksesoris baru cinta samsung suka nomor',SAMSUNG,UNCATEGORIZED
'benci samsung hnjeng',SAMSUNG,UNCATEGORIZED
'suka video trinkets samsung galaxy je water test',SAMSUNG,UNCATEGORIZED
'okezonenews huawei langkahi samsung produsen smartphone untung',SAMSUNG,UNCATEGORIZED
'okezonenews samsung jual divisi pc lonovo',SAMSUNG,UNCATEGORIZED
'okezonenews saing ranah iot samsung siap cpu',SAMSUNG,UNCATEGORIZED
'okezonenews imbas galaxy note samsung sdi pulih reputasi',SAMSUNG,UNCATEGORIZED
'suka video unboxing samsung jj prime indonesia tidak mewah',SAMSUNG,UNCATEGORIZED
'suka selfie try kamera samsung nxeo',SAMSUNG,UNCATEGORIZED
'samsung c bagus',SAMSUNG,UNCATEGORIZED
'samsung galaxy j j prime slalu bagus selfi dimanapunantiselfiegelap',SAMSUNG,UNCATEGORIZED
'samsung camera bagus oppo',SAMSUNG,UNCATEGORIZED
'bagus sih kyknya samsung',SAMSUNG,UNCATEGORIZED
'bagus pakai samsung jj',SAMSUNG,UNCATEGORIZED
'eljih tlrp saran merk hp bagus samsungiphone',SAMSUNG,UNCATEGORIZED
'suka iklan samsung galaxy jj prime mas abimana',SAMSUNG,UNCATEGORIZED
'samsung galaxy ag pro mantap ya duh',SAMSUNG,UNCATEGORIZED
'okezonenews gara gara galaxy note timbul percaya samsung sdi',SAMSUNG,UNCATEGORIZED
'suka video alas tidak pilih samsung z z',SAMSUNG,UNCATEGORIZED
'permisi juragan ane numpang jual juragan barang bagus nii monggoo juragan rapat samsung galaxy gold released',SAMSUNG,UNCATEGORIZED
'suka video samsung galaxy jj review indonesia harga mid fitur power',SAMSUNG,UNCATEGORIZED
'suka video review samsung galaxy jj prime indonesia lengkap jj',SAMSUNG,UNCATEGORIZED
'suka video fanboy samsung garis keras',SAMSUNG,UNCATEGORIZED
