@relation NLP

@attribute Tweet string
@attribute Category {SAMSUNG,IPHONE,VIVO,OPPO,XIAOMI,LENOVO}
@attribute Sentiment {POSITIVE,NEUTRAL,NEGATIVE,UNCATEGORIZED}

@data
'saya suka video  dari   unboxing samsung galaxy j5 prime indonesia - mewahnya kerasa',SAMSUNG,UNCATEGORIZED
'saya suka video   full review samsung galaxy note 5 bahasa indonesia',SAMSUNG,UNCATEGORIZED
'saya suka video  dari   unboxing samsung galaxy j5 prime indonesia - mewahnya kerasa',SAMSUNG,UNCATEGORIZED
'saya suka video  dari   samsung galaxy note5 - techtalk #3',SAMSUNG,UNCATEGORIZED
'saya suka video  dari   [review] samsung galaxy note 5 - indonesia',SAMSUNG,UNCATEGORIZED
'saya suka video  dari   samsung galaxy note 5 review',SAMSUNG,UNCATEGORIZED
'saya suka video  dari   unboxing samsung galaxy j5 prime indonesia - mewahnya kerasa',SAMSUNG,UNCATEGORIZED
'saya suka video  dari   unboxing samsung galaxy j5 prime indonesia - mewahnya kerasa',SAMSUNG,UNCATEGORIZED
'saya suka video  dari   samsung z2 review indonesia - hp masa gitu?',SAMSUNG,UNCATEGORIZED
'saya suka video  dari   google pixel xl vs samsung galaxy s7 edge - battle of the',SAMSUNG,UNCATEGORIZED
' saya lebih suka jika samsung lebih serius terjun ke bisnis windows 10 pc.',SAMSUNG,UNCATEGORIZED
'_ harga sama even samsung pun punya prosesor yang lebih bagus',SAMSUNG,UNCATEGORIZED
' suka tak pakai lenovo? taknak try samsung? sony? iphone? ??????',SAMSUNG,UNCATEGORIZED
'?  ?? #bokep #bokepfull mantap ? samsung dan apple masih menjadi smartphone terlaris di dunia',SAMSUNG,UNCATEGORIZED
'?  ?? #bokep #bokepfull mantap ? warga jepara bawa pulang samsung galaxy j7 dari bukopin',SAMSUNG,UNCATEGORIZED
'saya suka video  dari   review samsung galaxy s7 edge - sempurna?',SAMSUNG,UNCATEGORIZED
'#dijual #jual #iklan #iklanbaris samsung j3 2016 bagus seperti baru',SAMSUNG,UNCATEGORIZED
'#bpnews ini dia 6 aksesoris terbaru bagi kamu pencinta #samsung! suka yang nomor berapa?',SAMSUNG,UNCATEGORIZED
'aq benci samsung , hnjenk .',SAMSUNG,UNCATEGORIZED
'saya suka video  dari _trinkets  samsung galaxy j3 2016 - water test (4k)',SAMSUNG,UNCATEGORIZED
'okezonenews: huawei langkahi samsung sebagai produsen smartphone paling menguntungkan',SAMSUNG,UNCATEGORIZED
'okezonenews: samsung disebut jual divisi pc ke lonovo',SAMSUNG,UNCATEGORIZED
'okezonenews: bersaing di ranah iot, samsung siapkan cpu baru',SAMSUNG,UNCATEGORIZED
'okezonenews: imbas galaxy note 7, samsung sdi ingin pulihkan reputasi',SAMSUNG,UNCATEGORIZED
'_id aku baru coba j5  lumanyann bagus',SAMSUNG,UNCATEGORIZED
'saya suka video  dari   unboxing samsung j7 prime indonesia - nggak cuma mewah doang',SAMSUNG,UNCATEGORIZED
' kalau suka selfie, boleh try kamera ni. samsung nx3000.',SAMSUNG,UNCATEGORIZED
'samsung diserbu hp cina, dulu hape cina dinilai jelek, tp sekarang, dudududuudu. hancur harga samsung.',SAMSUNG,UNCATEGORIZED
'saya suka video  dari   irfan pengemis kaya yang punya samsung galaxy, iphone 5s, jam',SAMSUNG,UNCATEGORIZED
' samsung c bagus tuh',SAMSUNG,UNCATEGORIZED
