@relation NLP

@attribute Tweet string
@attribute Category {SAMSUNG,IPHONE,VIVO,OPPO,XIAOMI,LENOVO}
@attribute Sentiment {POSITIVE,NEUTRAL,NEGATIVE,UNCATEGORIZED}

@data
'suka mewah ',SAMSUNG,UNCATEGORIZED
'suka ',SAMSUNG,UNCATEGORIZED
'suka ',SAMSUNG,UNCATEGORIZED
'suka ',SAMSUNG,UNCATEGORIZED
'suka ',SAMSUNG,UNCATEGORIZED
'suka ',SAMSUNG,UNCATEGORIZED
'suka xl of the ',SAMSUNG,UNCATEGORIZED
'suka serius terjun windows ',SAMSUNG,UNCATEGORIZED
'bagus ',SAMSUNG,UNCATEGORIZED
'suka taknak iphone ',SAMSUNG,UNCATEGORIZED
'suka sempurna ',SAMSUNG,UNCATEGORIZED
'bagus ',SAMSUNG,UNCATEGORIZED
'baru samsung suka ',SAMSUNG,UNCATEGORIZED
'benci samsung ',SAMSUNG,UNCATEGORIZED
'suka trinkets ',SAMSUNG,UNCATEGORIZED
'untung ',SAMSUNG,UNCATEGORIZED
'',SAMSUNG,UNCATEGORIZED
'siap cpu ',SAMSUNG,UNCATEGORIZED
'pulih ',SAMSUNG,UNCATEGORIZED
'suka tidak mewah ',SAMSUNG,UNCATEGORIZED
'suka selfie samsung ',SAMSUNG,UNCATEGORIZED
'c bagus ',SAMSUNG,UNCATEGORIZED
'bagus selfi dimanapunantiselfiegelap ',SAMSUNG,UNCATEGORIZED
'bagus oppo ',SAMSUNG,UNCATEGORIZED
'bagus samsung ',SAMSUNG,UNCATEGORIZED
'bagus samsung ',SAMSUNG,UNCATEGORIZED
'merk bagus samsungiphone ',SAMSUNG,UNCATEGORIZED
'suka ',SAMSUNG,UNCATEGORIZED
'ag pro mantap ya ',SAMSUNG,UNCATEGORIZED
'timbul percaya samsung ',SAMSUNG,UNCATEGORIZED
'suka tidak ',SAMSUNG,UNCATEGORIZED
'ane bagus nii rapat samsung ',SAMSUNG,UNCATEGORIZED
'suka ',SAMSUNG,UNCATEGORIZED
'suka lengkap ',SAMSUNG,UNCATEGORIZED
'suka keras ',SAMSUNG,UNCATEGORIZED
'bagus ',SAMSUNG,UNCATEGORIZED
'suka lengkap ',SAMSUNG,UNCATEGORIZED
'tidak rusak ',SAMSUNG,UNCATEGORIZED
'suka hands on ',SAMSUNG,UNCATEGORIZED
'canggih canggih bagus bagus suka samsung ',SAMSUNG,UNCATEGORIZED
'bagus bagus samsung suka ',SAMSUNG,UNCATEGORIZED
'mantap ',SAMSUNG,UNCATEGORIZED
'mantap tinggal berani tidak kaya samsung positif ',SAMSUNG,UNCATEGORIZED
'cepeet at samsung ',SAMSUNG,UNCATEGORIZED
'bilang samsung jelek tidak bagus latih ',SAMSUNG,UNCATEGORIZED
'suka ',SAMSUNG,UNCATEGORIZED
'samsung suka suka ',SAMSUNG,UNCATEGORIZED
'suka juta murah ',SAMSUNG,UNCATEGORIZED
'suka ',SAMSUNG,UNCATEGORIZED
'sih xiaomi jt walopun tidak suka merknya mewah sonya ',SAMSUNG,UNCATEGORIZED
'porno mantap samsung ',SAMSUNG,UNCATEGORIZED
'baru keren ag bagus murah ',SAMSUNG,UNCATEGORIZED
'bagus samsung serbaguna ',SAMSUNG,UNCATEGORIZED
'serius hape xiaomi bagus kah samsung bagus beli ',SAMSUNG,UNCATEGORIZED
'pulang rusak grgr cemplung with at samsung ',SAMSUNG,UNCATEGORIZED
'samsung suka ',SAMSUNG,UNCATEGORIZED
'jelek habis langsung rusak rjt ',SAMSUNG,UNCATEGORIZED
'besut ',SAMSUNG,UNCATEGORIZED
'porno mantap baru lengkap s ',SAMSUNG,UNCATEGORIZED
'tab a jelek ',SAMSUNG,UNCATEGORIZED
'porno mantap ',SAMSUNG,UNCATEGORIZED
'suka samsung ',SAMSUNG,UNCATEGORIZED
'tidak terus rusak tab menyamaimelebihi ',SAMSUNG,UNCATEGORIZED
'porno mantap iri smartphone iphone ',SAMSUNG,UNCATEGORIZED
'jelek ',SAMSUNG,UNCATEGORIZED
'suka ',SAMSUNG,UNCATEGORIZED
'satuh suka samsung tidak ',SAMSUNG,UNCATEGORIZED
'cocok suka sama selfie ',SAMSUNG,UNCATEGORIZED
